OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,HOMICIDE_TYPE,NEIGHBOURHOOD_158
780,GO-201620700,2016.01.04,2016,January,4,Monday,Shooting,Taylor-Massey
781,GO-201698593,2016.01.17,2016,January,17,Sunday,Other,Newtonbrook East
782,GO-2016108786,2016.01.19,2016,January,19,Tuesday,Shooting,New Toronto
783,GO-2016120610,2016.01.20,2016,January,20,Wednesday,Shooting,L'Amoreaux West
784,GO-2016119350,2016.01.20,2016,January,20,Wednesday,Shooting,Princess-Rosethorn
785,GO-2016139786,2016.01.24,2016,January,24,Sunday,Shooting,Bendale-Glen Andrew
786,GO-2016173014,2016.01.29,2016,January,29,Friday,Shooting,Yorkdale-Glen Park
787,GO-2016175803,2016.01.30,2016,January,30,Saturday,Other,Mount Olive-Silverstone-Jamestown
788,GO-2016181573,2016.01.31,2016,January,31,Sunday,Shooting,Kensington-Chinatown
789,GO-2016181573,2016.01.31,2016,January,31,Sunday,Shooting,Kensington-Chinatown
790,GO-2016204501,2016.02.03,2016,February,3,Wednesday,Stabbing,Etobicoke West Mall
791,GO-2016215657,2016.02.05,2016,February,5,Friday,Other,Malvern East
792,GO-2016215657,2016.02.05,2016,February,5,Friday,Other,Malvern East
793,GO-2016215657,2016.02.05,2016,February,5,Friday,Other,Malvern East
794,GO-2016215657,2016.02.05,2016,February,5,Friday,Other,Malvern East
795,GO-2016225259,2016.02.07,2016,February,7,Sunday,Other,Victoria Village
796,GO-2016235777,2016.02.09,2016,February,9,Tuesday,Stabbing,Brookhaven-Amesbury
797,GO-2016317425,2016.02.22,2016,February,22,Monday,Other,Scarborough Village
798,GO-2016345475,2016.02.27,2016,February,27,Saturday,Stabbing,Clairlea-Birchmount
799,GO-2016354140,2016.02.28,2016,February,28,Sunday,Shooting,Humber Heights-Westmount
800,GO-2016359352,2016.02.29,2016,February,29,Monday,Shooting,Scarborough Village
801,GO-2016265129,2016.03.04,2016,March,4,Friday,Other,Kensington-Chinatown
802,GO-2016481311,2016.03.20,2016,March,20,Sunday,Shooting,East L'Amoreaux
803,GO-2016491854,2016.03.22,2016,March,22,Tuesday,Other,Pelmo Park-Humberlea
804,GO-2016500861,2016.03.23,2016,March,23,Wednesday,Shooting,South Riverdale
