OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
1,GO-2004111878,2004.01.03,2004,January,3,Saturday,3,D53,Other,Rosedale-Moore Park
2,GO-2004125755,2004.01.08,2004,January,8,Thursday,8,D42,Shooting,Woburn North
3,GO-2004136086,2004.01.08,2004,January,8,Thursday,8,D42,Shooting,Malvern East
4,GO-2004148623,2004.01.25,2004,January,25,Sunday,25,D13,Shooting,Junction-Wallace Emerson
5,GO-2004148619,2004.01.25,2004,January,25,Sunday,25,D42,Shooting,Morningside Heights
6,GO-2004152518,2004.02.20,2004,February,20,Friday,51,D31,Stabbing,Oakdale-Beverley Heights
7,GO-2004152518,2004.02.20,2004,February,20,Friday,51,D31,Stabbing,Oakdale-Beverley Heights
8,GO-2004172092,2004.02.21,2004,February,21,Saturday,52,D31,Shooting,Oakdale-Beverley Heights
9,GO-2004133635,2004.02.21,2004,February,21,Saturday,52,D23,Other,Mount Olive-Silverstone-Jamestown
10,GO-2004218803,2004.03.03,2004,March,3,Wednesday,63,D42,Shooting,Morningside Heights
11,GO-2004218585,2004.03.03,2004,March,3,Wednesday,63,D42,Shooting,Agincourt North
12,GO-2004301868,2004.03.03,2004,March,3,Wednesday,63,D54,Shooting,Old East York
13,GO-2004200779,2004.03.04,2004,March,4,Thursday,64,D41,Shooting,Clairlea-Birchmount
14,GO-2004229133,2004.03.13,2004,March,13,Saturday,73,D41,Stabbing,Woburn North
15,GO-2004219659,2004.03.18,2004,March,18,Thursday,78,D53,Other,Bedford Park-Nortown
16,GO-2004219687,2004.03.24,2004,March,24,Wednesday,84,D42,Other,Golfdale-Cedarbrae-Woburn
17,GO-2004256410,2004.04.01,2004,April,1,Thursday,92,D51,Other,Moss Park
18,GO-2004250857,2004.04.13,2004,April,13,Tuesday,104,D23,Shooting,Elms-Old Rexdale
19,GO-2004350484,2004.05.01,2004,May,1,Saturday,122,D23,Shooting,Mount Olive-Silverstone-Jamestown
20,GO-2004311851,2004.05.15,2004,May,15,Saturday,136,D31,Shooting,Black Creek
21,GO-2004311870,2004.05.19,2004,May,19,Wednesday,140,D22,Stabbing,Alderwood
